Run,Accuracy,Precision,Recall,F1,AUC,Processing Time (s)
0,0.8448275862068966,0.603641456582633,0.6185897435897436,0.6101568334578044,0.6185897435897436,0.3488585948944092
1,0.9137931034482759,0.7222222222222222,0.6811320754716981,0.6988577362409139,0.6811320754716981,0.33233070373535156
2,0.8448275862068966,0.595,0.6433962264150943,0.6101568334578044,0.6433962264150943,0.34181690216064453
3,0.896551724137931,0.5972222222222222,0.5972222222222222,0.5972222222222222,0.5972222222222222,0.3550732135772705
4,0.7931034482758621,0.4339622641509434,0.45098039215686275,0.4423076923076923,0.45098039215686275,0.33730649948120117
5,0.8793103448275862,0.6848739495798319,0.7115384615384616,0.696788648244959,0.7115384615384616,0.38312768936157227
6,0.8793103448275862,0.8081232492997199,0.7291666666666667,0.7587641117052881,0.7291666666666666,0.3571608066558838
7,0.896551724137931,0.45614035087719296,0.49056603773584906,0.4727272727272727,0.49056603773584906,0.3393399715423584
8,0.8793103448275862,0.7037037037037037,0.623249299719888,0.6484848484848484,0.6232492997198879,0.3463709354400635
9,0.7931034482758621,0.5583333333333333,0.5897435897435898,0.565,0.5897435897435898,0.34810662269592285
10,0.8448275862068966,0.5528301886792453,0.5448717948717949,0.548051948051948,0.5448717948717949,0.33838725090026855
11,0.7758620689655172,0.5025,0.5028011204481793,0.5023102310231023,0.5028011204481793,0.35523486137390137
12,0.8103448275862069,0.5256410256410257,0.5224089635854342,0.5235250186706497,0.5224089635854341,0.3323030471801758
13,0.7931034482758621,0.565,0.565,0.565,0.5650000000000001,0.3373079299926758
14,0.7758620689655172,0.5083333333333333,0.5150943396226415,0.5023102310231023,0.5150943396226415,0.33530449867248535
15,0.8448275862068966,0.5528301886792453,0.5448717948717949,0.548051948051948,0.5448717948717949,0.3172895908355713
16,0.9137931034482759,0.7969696969696969,0.657051282051282,0.6988577362409139,0.6570512820512819,0.3285207748413086
17,0.8275862068965517,0.6089743589743589,0.585,0.5938375350140056,0.5850000000000001,0.3282051086425781
18,0.8448275862068966,0.6360544217687075,0.6923076923076923,0.6554455445544555,0.6923076923076923,0.33271336555480957
19,0.8103448275862069,0.56875,0.6245283018867924,0.5788778877887789,0.6245283018867924,0.3533210754394531
20,0.8793103448275862,0.8194444444444444,0.6564625850340136,0.696788648244959,0.6564625850340136,0.31828904151916504
21,0.8103448275862069,0.5256410256410257,0.5224089635854342,0.5235250186706497,0.5224089635854341,0.37197256088256836
22,0.8620689655172413,0.7756410256410255,0.6791666666666667,0.71,0.6791666666666666,0.3115251064300537
23,0.8620689655172413,0.46296296296296297,0.46296296296296297,0.46296296296296297,0.46296296296296297,0.374340295791626
24,0.8620689655172413,0.6282051282051282,0.6282051282051282,0.6282051282051282,0.6282051282051282,0.35811352729797363
