Run,Accuracy,Precision,Recall,F1,AUC,Processing Time (s)
0,0.9137931034482759,0.7675736961451247,0.8782051282051282,0.8085808580858085,0.8782051282051283,0.2609858512878418
1,0.8620689655172413,0.6134453781512605,0.6528301886792454,0.6282051282051282,0.6528301886792452,0.2559964656829834
2,0.9137931034482759,0.7222222222222222,0.6811320754716981,0.6988577362409139,0.6811320754716981,0.26718688011169434
3,0.7758620689655172,0.45918367346938777,0.4166666666666667,0.4368932038834951,0.4166666666666667,0.2578158378601074
4,0.8275862068965517,0.43636363636363634,0.47058823529411764,0.4528301886792453,0.47058823529411764,0.2420363426208496
5,0.8448275862068966,0.660541586073501,0.766025641025641,0.6898395721925134,0.766025641025641,0.2569558620452881
6,0.8620689655172413,0.8101851851851851,0.6395833333333333,0.6750700280112044,0.6395833333333334,0.27198314666748047
7,0.8103448275862069,0.56875,0.6245283018867924,0.5788778877887789,0.6245283018867924,0.2469925880432129
8,0.8448275862068966,0.5694444444444444,0.542016806722689,0.548051948051948,0.542016806722689,0.24122071266174316
9,0.7931034482758621,0.4423076923076923,0.4423076923076923,0.4423076923076923,0.4423076923076923,0.24922609329223633
10,0.8448275862068966,0.5528301886792453,0.5448717948717949,0.548051948051948,0.5448717948717949,0.2522304058074951
11,0.8103448275862069,0.575,0.5840336134453781,0.5788778877887789,0.5840336134453781,0.2382187843322754
12,0.8275862068965517,0.5433962264150943,0.5322128851540616,0.5352564102564102,0.5322128851540616,0.24822545051574707
13,0.8620689655172413,0.6944444444444444,0.605,0.6282051282051282,0.605,0.25623273849487305
14,0.8620689655172413,0.5622641509433962,0.5622641509433962,0.5622641509433962,0.5622641509433962,0.2792537212371826
15,0.8275862068965517,0.5352564102564102,0.5352564102564102,0.5352564102564102,0.5352564102564102,0.24622368812561035
16,0.8103448275862069,0.44339622641509435,0.4519230769230769,0.44761904761904764,0.4519230769230769,0.22220182418823242
17,0.8793103448275862,0.7464985994397759,0.72,0.732013201320132,0.72,0.2388007640838623
18,0.7931034482758621,0.5923913043478262,0.6634615384615384,0.6054421768707483,0.6634615384615384,0.25423240661621094
19,0.8448275862068966,0.595,0.6433962264150943,0.6101568334578044,0.6433962264150943,0.2522292137145996
20,0.8275862068965517,0.6339622641509435,0.5804988662131519,0.5938375350140056,0.580498866213152,0.23221087455749512
21,0.8793103448275862,0.7037037037037037,0.623249299719888,0.6484848484848484,0.6232492997198879,0.2817554473876953
22,0.7758620689655172,0.5952380952380952,0.5875,0.5908844275637548,0.5875,0.2472248077392578
23,0.8793103448275862,0.4636363636363636,0.4722222222222222,0.46788990825688076,0.4722222222222222,0.26429271697998047
24,0.9137931034482759,0.7716981132075471,0.7307692307692308,0.7489177489177489,0.7307692307692307,0.22429251670837402
