Run,Accuracy,Precision,Recall,F1,AUC,Processing Time (s)
0,0.896551724137931,0.4482758620689655,0.5,0.4727272727272727,0.5,1.02293062210083
1,0.9310344827586207,0.9649122807017544,0.6,0.6484848484848484,0.6,1.0342848300933838
2,0.9137931034482759,0.45689655172413796,0.5,0.4774774774774775,0.5,1.0011072158813477
3,0.9310344827586207,0.46551724137931033,0.5,0.48214285714285715,0.5,1.0203943252563477
4,0.8793103448275862,0.4396551724137931,0.5,0.46788990825688076,0.5,1.0165116786956787
5,0.896551724137931,0.4482758620689655,0.5,0.4727272727272727,0.5,1.0512053966522217
6,0.8275862068965517,0.41379310344827586,0.5,0.4528301886792453,0.5,1.0099174976348877
7,0.9137931034482759,0.45689655172413796,0.5,0.4774774774774775,0.5,1.0221052169799805
8,0.8793103448275862,0.4396551724137931,0.5,0.46788990825688076,0.5,1.038325309753418
9,0.896551724137931,0.4482758620689655,0.5,0.4727272727272727,0.5,1.0090131759643555
10,0.896551724137931,0.4482758620689655,0.5,0.4727272727272727,0.5,1.0224299430847168
11,0.8793103448275862,0.4396551724137931,0.5,0.46788990825688076,0.5,1.0325849056243896
12,0.8793103448275862,0.4396551724137931,0.5,0.46788990825688076,0.5,1.0099186897277832
13,0.8620689655172413,0.43103448275862066,0.5,0.46296296296296297,0.5,1.0479533672332764
14,0.9137931034482759,0.45689655172413796,0.5,0.4774774774774775,0.5,1.0139214992523193
15,0.896551724137931,0.4482758620689655,0.5,0.4727272727272727,0.5,1.0183382034301758
16,0.896551724137931,0.4482758620689655,0.5,0.4727272727272727,0.5,1.0209882259368896
17,0.8620689655172413,0.43103448275862066,0.5,0.46296296296296297,0.5,1.0061264038085938
18,0.896551724137931,0.4482758620689655,0.5,0.4727272727272727,0.5,1.0099198818206787
19,0.9137931034482759,0.45689655172413796,0.5,0.4774774774774775,0.5,1.0209286212921143
20,0.8448275862068966,0.4224137931034483,0.5,0.45794392523364486,0.5,1.0179245471954346
21,0.8793103448275862,0.4396551724137931,0.5,0.46788990825688076,0.5,1.0147833824157715
22,0.8275862068965517,0.41379310344827586,0.5,0.4528301886792453,0.5,1.025374412536621
23,0.9310344827586207,0.46551724137931033,0.5,0.48214285714285715,0.5,1.0448355674743652
24,0.9137931034482759,0.956140350877193,0.5833333333333334,0.6199213630406291,0.5833333333333334,1.0329384803771973
