Run,Accuracy,Precision,Recall,F1,AUC,Processing Time (s)
0,0.5373134328358209,0.6266506602641057,0.682589131187262,0.524496336996337,0.682589131187262,0.5855319499969482
1,0.6791044776119403,0.6596244131455399,0.7897727272727273,0.6295724847315975,0.7897727272727273,0.5457687377929688
2,0.5,0.5766363848124855,0.644298245614035,0.4677180292879587,0.6442982456140351,0.5856404304504395
3,0.6119402985074627,0.6311200536552649,0.7152293577981652,0.5780038759689923,0.7152293577981652,0.6163699626922607
4,0.5597014925373134,0.6142399267399268,0.6831192660550459,0.5348043542218299,0.6831192660550458,0.6085531711578369
5,0.6044776119402985,0.6577380952380952,0.7384908272758739,0.5850423605024833,0.7384908272758739,0.5316586494445801
6,0.5970149253731343,0.6745238095238095,0.7245710784313726,0.5896098003629764,0.7245710784313726,0.5594644546508789
7,0.5597014925373134,0.5995916515426497,0.6441707717569787,0.5380660239555946,0.6441707717569787,0.5919003486633301
8,0.6119402985074627,0.6366487455197133,0.731060606060606,0.5780038759689923,0.731060606060606,0.5308752059936523
9,0.5149253731343284,0.6367237413749042,0.680256064690027,0.5087699509333935,0.680256064690027,0.6045496463775635
10,0.664179104477612,0.6779017857142857,0.7758740048459674,0.636462289744981,0.7758740048459674,0.6105706691741943
11,0.5447761194029851,0.6039377289377289,0.6913190054782975,0.5114458191381268,0.6913190054782975,0.5957529544830322
12,0.6268656716417911,0.691358024691358,0.7572815533980582,0.6165293040293041,0.7572815533980582,0.5505380630493164
13,0.5522388059701493,0.5927683615819209,0.6607912260086173,0.5174069627851141,0.6607912260086174,0.5244812965393066
14,0.6268656716417911,0.6268656716417911,0.7230708969839404,0.581772784019975,0.7230708969839403,0.6115553379058838
15,0.5970149253731343,0.6707317073170732,0.7452830188679245,0.5836593785960874,0.7452830188679245,0.511817216873169
16,0.6044776119402985,0.6411070780399274,0.6866186618661867,0.5902140672782874,0.6866186618661867,0.5609276294708252
17,0.6492537313432836,0.6443850267379679,0.7538190364277321,0.6046701399786579,0.753819036427732,0.5575075149536133
18,0.582089552238806,0.6400460299194477,0.7106265143648322,0.563009550430934,0.7106265143648322,0.5354878902435303
19,0.5970149253731343,0.6470722260195945,0.7368807339449541,0.5726435152374203,0.7368807339449542,0.5715210437774658
20,0.6119402985074627,0.6454954954954955,0.73005698005698,0.5852380952380952,0.73005698005698,0.525477409362793
21,0.6343283582089553,0.6697175141242938,0.7407051282051282,0.6163599182004089,0.7407051282051282,0.5905368328094482
22,0.5597014925373134,0.6560283687943262,0.7044871794871794,0.5524990094526518,0.7044871794871794,0.5119876861572266
23,0.6194029850746269,0.6522522522522523,0.7339910003461405,0.5948301416968045,0.7339910003461407,0.611119270324707
24,0.6119402985074627,0.6384459914664271,0.7024630541871921,0.5884715331915898,0.7024630541871921,0.4807116985321045
